cty_name,ccode,gdp,pop
Afghanistan,AFG,19362969582,37172386
Albania,ALB,15102500898,2866376
Algeria,DZA,1.73758E+11,42228429
American Samoa,ASM,636000000,55465
Andorra,AND,3236543909,77006
Angola,AGO,1.05751E+11,30809762
Antigua and Barbuda,ATG,1610574074,96286
Argentina,ARG,5.19872E+11,44494502
Armenia,ARM,12433089919,2951776
Aruba,ABW,,105845
Australia,AUS,1.4339E+12,24982688
Austria,AUT,4.55286E+11,8840521
Azerbaijan,AZE,46939529412,9939800
"Bahamas, The",BHS,12424500000,385640
Bahrain,BHR,37746196809,1569439
Bangladesh,BGD,2.74025E+11,161356039
Barbados,BRB,5145000000,286641
Belarus,BLR,59662495092,9483499
Belgium,BEL,5.42761E+11,11433256
Belize,BLZ,1871203164,383071
Benin,BEN,10354274635,11485048
Bermuda,BMU,,63973
Bhutan,BTN,2446674101,754394
Bolivia,BOL,40287647757,11353142
Bosnia and Herzegovina,BIH,20161865419,3323929
Botswana,BWA,18616018903,2254126
Brazil,BRA,1.86863E+12,209469333
British Virgin Islands,VGB,,29802
Brunei Darussalam,BRN,13567351175,428962
Bulgaria,BGR,65132951116,7025037
Burkina Faso,BFA,14124775069,19751535
Burundi,BDI,3036931818,11175378
Cabo Verde,CPV,1976814277,543767
Cambodia,KHM,24542474061,16249798
Cameroon,CMR,38675205293,25216237
Canada,CAN,1.71334E+12,37057765
Cayman Islands,CYM,,64174
Central African Republic,CAF,2219894702,4666377
Chad,TCD,11273115239,15477751
Channel Islands,CHI,,170499
Chile,CHL,2.98231E+11,18729160
China,CHN,1.36082E+13,1392730000
Colombia,COL,3.31047E+11,49648685
Comoros,COM,1177955049,832322
"Congo, Dem. Rep.",COD,47227535291,84068091
"Congo, Rep.",COG,11263682694,5244363
Costa Rica,CRI,60130106116,4999441
Cote d'Ivoire,CIV,43007047822,25069229
Croatia,HRV,60971699315,4087843
Cuba,CUB,1.00023E+11,11338138
Curacao,CUW,3127908038,159800
Cyprus,CYP,24961988663,1189265
Czech Republic,CZE,2.45226E+11,10629928
Denmark,DNK,3.55675E+11,5793636
Djibouti,DJI,2955912228,958920
Dominica,DMA,550892592.6,71625
Dominican Republic,DOM,85555390387,10627165
Ecuador,ECU,1.08398E+11,17084357
"Egypt, Arab Rep.",EGY,2.50895E+11,98423595
El Salvador,SLV,26057000000,6420744
Equatorial Guinea,GNQ,13432377050,1308974
Eritrea,ERI,,
Estonia,EST,30732144529,1321977
Eswatini,SWZ,4710618472,1136191
Ethiopia,ETH,84355604753,109224559
Faroe Islands,FRO,,48497
Fiji,FJI,5536759659,883483
Finland,FIN,2.76743E+11,5515525
France,FRA,2.77754E+12,66977107
French Polynesia,PYF,,277679
Gabon,GAB,16853589311,2119275
"Gambia, The",GMB,1632823199,2280102
Georgia,GEO,17599660629,3726549
Germany,DEU,3.94762E+12,82905782
Ghana,GHA,65556464048,29767108
Gibraltar,GIB,,33718
Greece,GRC,2.18032E+11,10731726
Greenland,GRL,,56025
Grenada,GRD,1185925926,111454
Guam,GUM,5920000000,165768
Guatemala,GTM,78460447920,17247807
Guinea,GIN,10907214994,12414318
Guinea-Bissau,GNB,1458156026,1874309
Guyana,GUY,3878662621,779004
Haiti,HTI,9658721169,11123176
Honduras,HND,23969890431,9587522
"Hong Kong SAR, China",HKG,3.62682E+11,7451000
Hungary,HUN,1.57883E+11,9775564
Iceland,ISL,25878475760,352721
India,IND,2.71873E+12,1352617328
Indonesia,IDN,1.04217E+12,267663435
"Iran, Islamic Rep.",IRN,,81800269
Iraq,IRQ,2.24228E+11,38433600
Ireland,IRL,3.82487E+11,4867309
Isle of Man,IMN,,84077
Israel,ISR,3.70588E+11,8882800
Italy,ITA,2.08386E+12,60421760
Jamaica,JAM,15713908816,2934855
Japan,JPN,4.97132E+12,126529100
Jordan,JOR,42231295775,9956011
Kazakhstan,KAZ,1.7934E+11,18272430
Kenya,KEN,87908262520,51393010
Kiribati,KIR,188284518.8,115847
"Korea, Dem. People’s Rep.",PRK,,25549819
"Korea, Rep.",KOR,1.61942E+12,51606633
Kosovo,XKX,7938990793,1845300
Kuwait,KWT,1.40645E+11,4137309
Kyrgyz Republic,KGZ,8092836609,6322800
Lao PDR,LAO,17953786416,7061507
Latvia,LVA,34409229178,1927174
Lebanon,LBN,56639155556,6848925
Lesotho,LSO,2738786278,2108132
Liberia,LBR,3264000000,4818977
Libya,LBY,48364208571,6678567
Liechtenstein,LIE,,37910
Lithuania,LTU,53429066429,2801543
Luxembourg,LUX,70885325883,607950
"Macao SAR, China",MAC,55084050790,631636
Madagascar,MDG,13853432868,26262368
Malawi,MWI,7064971176,18143315
Malaysia,MYS,3.58582E+11,31528585
Maldives,MDV,5327457150,515696
Mali,MLI,17163432832,19077690
Malta,MLT,14553422929,484630
Marshall Islands,MHL,221278000,58413
Mauritania,MRT,5234817927,4403319
Mauritius,MUS,14220348673,1265303
Mexico,MEX,1.2207E+12,126190788
"Micronesia, Fed. Sts.",FSM,401932279,112640
Moldova,MDA,11443671436,2706049
Monaco,MCO,7184844193,38682
Mongolia,MNG,13066749138,3170208
Montenegro,MNE,5504166667,622227
Morocco,MAR,1.17921E+11,36029138
Mozambique,MOZ,14717223207,29495962
Myanmar,MMR,71214803378,53708395
Namibia,NAM,14521711634,2448255
Nauru,NRU,125628504.3,12704
Nepal,NPL,29040398982,28087871
Netherlands,NLD,9.13658E+11,17231624
New Caledonia,NCL,,284060
New Zealand,NZL,2.04924E+11,4841000
Nicaragua,NIC,13117845417,6465513
Niger,NER,9290938457,22442948
Nigeria,NGA,3.9727E+11,195874740
North Macedonia,MKD,12672131053,2082958
Northern Mariana Islands,MNP,1323000000,56882
Norway,NOR,4.34167E+11,5311916
Oman,OMN,79276723017,4829483
Pakistan,PAK,3.14588E+11,212215030
Palau,PLW,283994900,17907
Panama,PAN,65055100000,4176873
Papua New Guinea,PNG,23497607690,8606316
Paraguay,PRY,40496953779,6956071
Peru,PER,2.22045E+11,31989256
Philippines,PHL,3.3091E+11,106651922
Poland,POL,5.85664E+11,37974750
Portugal,PRT,2.40675E+11,10283822
Puerto Rico,PRI,1.01131E+11,3195153
Qatar,QAT,1.91362E+11,2781677
Romania,ROU,2.39553E+11,19466145
Russian Federation,RUS,1.65755E+12,144478050
Rwanda,RWA,9508715596,12301939
Samoa,WSM,820491798.3,196130
San Marino,SMR,,33785
Sao Tome and Principe,STP,422296762.3,211028
Saudi Arabia,SAU,7.86522E+11,33699947
Senegal,SEN,24129599552,15854360
Serbia,SRB,50597289147,6982604
Seychelles,SYC,1590180446,96762
Sierra Leone,SLE,4085114794,7650154
Singapore,SGP,3.64157E+11,5638676
Sint Maarten (Dutch part),SXM,,40654
Slovak Republic,SVK,1.05905E+11,5446771
Slovenia,SVN,54007972106,2073894
Solomon Islands,SLB,1395608472,652858
Somalia,SOM,4720727278,15008154
South Africa,ZAF,3.68289E+11,57779622
South Sudan,SSD,,10975920
Spain,ESP,1.41904E+12,46796540
Sri Lanka,LKA,88900770858,21670000
St. Kitts and Nevis,KNA,1010822222,52441
St. Lucia,LCA,1921848222,181889
St. Martin (French part),MAF,,37264
St. Vincent and the Grenadines,VCT,811300000,110210
Sudan,SDN,40851536134,41801533
Suriname,SUR,3590753769,575991
Sweden,SWE,5.56086E+11,10175214
Switzerland,CHE,7.0514E+11,8513227
Syrian Arab Republic,SYR,,16906283
Tajikistan,TJK,7522947810,9100837
Tanzania,TZA,58001200572,56318348
Thailand,THA,5.04993E+11,69428524
Timor-Leste,TLS,2581000000,1267972
Togo,TGO,5358722983,7889094
Tonga,TON,450353313.9,103197
Trinidad and Tobago,TTO,23808146748,1389858
Tunisia,TUN,39871132268,11565204
Turkey,TUR,7.7135E+11,82319724
Turkmenistan,TKM,40761142857,5850908
Turks and Caicos Islands,TCA,1022312010,37665
Tuvalu,TUV,42587778.47,11508
Uganda,UGA,27461440192,42723139
Ukraine,UKR,1.30832E+11,44622516
United Arab Emirates,ARE,4.14179E+11,9630959
United Kingdom,GBR,2.8553E+12,66460344
United States,USA,2.05443E+13,326687501
Uruguay,URY,59596885024,3449299
Uzbekistan,UZB,50499921558,32955400
Vanuatu,VUT,914301119.3,292680
"Venezuela, RB",VEN,,28870195
