Entity,Code,Date,Daily new confirmed cases of COVID-19 per million people (cases)
Afghanistan,AFG,"Feb 25, 2020",0.026
Afghanistan,AFG,"Mar 8, 2020",0.077
Afghanistan,AFG,"Mar 11, 2020",0.077
Afghanistan,AFG,"Mar 15, 2020",0.077
Afghanistan,AFG,"Mar 16, 2020",0.154
Afghanistan,AFG,"Mar 17, 2020",0.128
Afghanistan,AFG,"Mar 18, 2020",0.026
Afghanistan,AFG,"Mar 21, 2020",0.051
Afghanistan,AFG,"Mar 23, 2020",0.257
Afghanistan,AFG,"Mar 24, 2020",0.154
Afghanistan,AFG,"Mar 25, 2020",0.051
Afghanistan,AFG,"Mar 26, 2020",0.848
Afghanistan,AFG,"Mar 28, 2020",0.411
Afghanistan,AFG,"Mar 29, 2020",0.385
Afghanistan,AFG,"Mar 30, 2020",0.206
Afghanistan,AFG,"Mar 31, 2020",0.694
Afghanistan,AFG,"Apr 1, 2020",0.642
Afghanistan,AFG,"Apr 2, 2020",0.668
Afghanistan,AFG,"Apr 3, 2020",1.105
Afghanistan,AFG,"Apr 5, 2020",0.899
Afghanistan,AFG,"Apr 6, 2020",0.745
Afghanistan,AFG,"Apr 7, 2020",0.976
Afghanistan,AFG,"Apr 8, 2020",0.771
Afghanistan,AFG,"Apr 9, 2020",1.439
Afghanistan,AFG,"Apr 10, 2020",1.567
Afghanistan,AFG,"Apr 11, 2020",0.95
Afghanistan,AFG,"Apr 12, 2020",0.873
Afghanistan,AFG,"Apr 13, 2020",1.336
Afghanistan,AFG,"Apr 14, 2020",1.49
Afghanistan,AFG,"Apr 15, 2020",1.259
Afghanistan,AFG,"Apr 16, 2020",1.798
Afghanistan,AFG,"Apr 17, 2020",0.257
Afghanistan,AFG,"Apr 18, 2020",1.31
Afghanistan,AFG,"Apr 19, 2020",1.618
Afghanistan,AFG,"Apr 20, 2020",2.261
Afghanistan,AFG,"Apr 21, 2020",0.899
Afghanistan,AFG,"Apr 22, 2020",1.567
Afghanistan,AFG,"Apr 23, 2020",2.158
Afghanistan,AFG,"Apr 24, 2020",2.697
Afghanistan,AFG,"Apr 25, 2020",1.798
Afghanistan,AFG,"Apr 26, 2020",2.877
Afghanistan,AFG,"Apr 27, 2020",1.747
Afghanistan,AFG,"Apr 28, 2020",4.418
Afghanistan,AFG,"Apr 29, 2020",3.185
Afghanistan,AFG,"Apr 30, 2020",3.134
Afghanistan,AFG,"May 1, 2020",5.703
Afghanistan,AFG,"May 2, 2020",4.213
Afghanistan,AFG,"May 3, 2020",3.442
Africa,,"Feb 15, 2020",0.001
Africa,,"Feb 26, 2020",0.001
Africa,,"Feb 28, 2020",0.001
Africa,,"Mar 1, 2020",0.001
Africa,,"Mar 2, 2020",0.001
Africa,,"Mar 3, 2020",0.002
Africa,,"Mar 4, 2020",0.001
Africa,,"Mar 5, 2020",0.007
Africa,,"Mar 6, 2020",0.007
Africa,,"Mar 7, 2020",0.01
Africa,,"Mar 8, 2020",0.001
Africa,,"Mar 9, 2020",0.029
Africa,,"Mar 10, 2020",0.009
Africa,,"Mar 11, 2020",0.007
Africa,,"Mar 12, 2020",0.01
Africa,,"Mar 13, 2020",0.031
Africa,,"Mar 14, 2020",0.032
Africa,,"Mar 15, 2020",0.028
Africa,,"Mar 16, 2020",0.063
Africa,,"Mar 17, 2020",0.058
Africa,,"Mar 18, 2020",0.069
Africa,,"Mar 19, 2020",0.104
Africa,,"Mar 20, 2020",0.083
Africa,,"Mar 21, 2020",0.172
Africa,,"Mar 22, 2020",0.15
Africa,,"Mar 23, 2020",0.159
Africa,,"Mar 24, 2020",0.26
Africa,,"Mar 25, 2020",0.347
Africa,,"Mar 26, 2020",0.363
Africa,,"Mar 27, 2020",0.439
Africa,,"Mar 28, 2020",0.392
Africa,,"Mar 29, 2020",0.239
Africa,,"Mar 30, 2020",0.377
Africa,,"Mar 31, 2020",0.379
Africa,,"Apr 1, 2020",0.365
Africa,,"Apr 2, 2020",0.464
Africa,,"Apr 3, 2020",0.474
Africa,,"Apr 4, 2020",0.466
Africa,,"Apr 5, 2020",0.695
Africa,,"Apr 6, 2020",0.548
Africa,,"Apr 7, 2020",0.468
Africa,,"Apr 8, 2020",0.539
Africa,,"Apr 9, 2020",0.688
Africa,,"Apr 10, 2020",0.622
Africa,,"Apr 11, 2020",0.501
Africa,,"Apr 12, 2020",0.533
Africa,,"Apr 13, 2020",0.639
Africa,,"Apr 14, 2020",0.574
Africa,,"Apr 15, 2020",0.738
Africa,,"Apr 16, 2020",0.718
Africa,,"Apr 17, 2020",0.81
Africa,,"Apr 18, 2020",1.17
Africa,,"Apr 19, 2020",0.865
Africa,,"Apr 20, 2020",0.929
Africa,,"Apr 21, 2020",0.719
Africa,,"Apr 22, 2020",1.007
Africa,,"Apr 23, 2020",0.797
Africa,,"Apr 24, 2020",1.145
Africa,,"Apr 25, 2020",1.383
Africa,,"Apr 26, 2020",0.926
Africa,,"Apr 27, 2020",1.068
Africa,,"Apr 28, 2020",1.056
Africa,,"Apr 29, 2020",1.32
Africa,,"Apr 30, 2020",1.345
Africa,,"May 1, 2020",1.578
Africa,,"May 2, 2020",1.422
Africa,,"May 3, 2020",1.506
Albania,ALB,"Mar 9, 2020",0.695
Albania,ALB,"Mar 10, 2020",1.39
Albania,ALB,"Mar 11, 2020",1.39
Albania,ALB,"Mar 12, 2020",0.347
Albania,ALB,"Mar 13, 2020",4.17
Albania,ALB,"Mar 14, 2020",3.475
Albania,ALB,"Mar 15, 2020",1.737
Albania,ALB,"Mar 16, 2020",1.39
Albania,ALB,"Mar 17, 2020",3.127
Albania,ALB,"Mar 18, 2020",1.39
Albania,ALB,"Mar 19, 2020",1.39
Albania,ALB,"Mar 20, 2020",3.822
Albania,ALB,"Mar 22, 2020",2.085
Albania,ALB,"Mar 23, 2020",4.517
Albania,ALB,"Mar 24, 2020",3.822
Albania,ALB,"Mar 25, 2020",7.992
Albania,ALB,"Mar 26, 2020",7.992
Albania,ALB,"Mar 27, 2020",9.73
Albania,ALB,"Mar 28, 2020",4.17
Albania,ALB,"Mar 29, 2020",3.822
Albania,ALB,"Mar 30, 2020",5.212
Albania,ALB,"Mar 31, 2020",3.822
Albania,ALB,"Apr 1, 2020",6.95
Albania,ALB,"Apr 2, 2020",5.56
Albania,ALB,"Apr 3, 2020",6.255
Albania,ALB,"Apr 4, 2020",9.382
Albania,ALB,"Apr 5, 2020",10.077
Albania,ALB,"Apr 6, 2020",9.73
Albania,ALB,"Apr 7, 2020",5.56
Albania,ALB,"Apr 8, 2020",2.085
Albania,ALB,"Apr 9, 2020",5.907
Albania,ALB,"Apr 10, 2020",3.127
Albania,ALB,"Apr 11, 2020",2.432
Albania,ALB,"Apr 12, 2020",5.907
Albania,ALB,"Apr 13, 2020",4.517
Albania,ALB,"Apr 14, 2020",7.297
Albania,ALB,"Apr 15, 2020",2.78
Albania,ALB,"Apr 16, 2020",6.602
Albania,ALB,"Apr 17, 2020",8.34
Albania,ALB,"Apr 18, 2020",7.297
Albania,ALB,"Apr 19, 2020",3.127
Albania,ALB,"Apr 20, 2020",4.865
Albania,ALB,"Apr 21, 2020",7.645
Albania,ALB,"Apr 22, 2020",8.687
Albania,ALB,"Apr 23, 2020",8.687
Albania,ALB,"Apr 24, 2020",10.077
Albania,ALB,"Apr 25, 2020",5.212
Albania,ALB,"Apr 26, 2020",11.815
Albania,ALB,"Apr 27, 2020",4.865
Albania,ALB,"Apr 28, 2020",3.475
Albania,ALB,"Apr 29, 2020",4.865
Albania,ALB,"Apr 30, 2020",5.56
Albania,ALB,"May 1, 2020",2.432
Albania,ALB,"May 2, 2020",3.127
Albania,ALB,"May 3, 2020",2.432
Algeria,DZA,"Feb 26, 2020",0.023
Algeria,DZA,"Mar 1, 2020",0.046
Algeria,DZA,"Mar 4, 2020",0.046
Algeria,DZA,"Mar 5, 2020",0.16
Algeria,DZA,"Mar 6, 2020",0.114
Algeria,DZA,"Mar 9, 2020",0.068
Algeria,DZA,"Mar 13, 2020",0.114
Algeria,DZA,"Mar 14, 2020",0.023
Algeria,DZA,"Mar 15, 2020",0.251
Algeria,DZA,"Mar 16, 2020",0.251
Algeria,DZA,"Mar 17, 2020",0.228
Algeria,DZA,"Mar 18, 2020",0.046
Algeria,DZA,"Mar 19, 2020",0.274
Algeria,DZA,"Mar 20, 2020",0.41
Algeria,DZA,"Mar 21, 2020",0.274
Algeria,DZA,"Mar 22, 2020",0.844
Algeria,DZA,"Mar 23, 2020",1.414
Algeria,DZA,"Mar 24, 2020",0.661
Algeria,DZA,"Mar 25, 2020",0.775
Algeria,DZA,"Mar 26, 2020",0.867
Algeria,DZA,"Mar 27, 2020",1.482
Algeria,DZA,"Mar 28, 2020",0.958
Algeria,DZA,"Mar 29, 2020",1.026
Algeria,DZA,"Mar 30, 2020",1.3
Algeria,DZA,"Mar 31, 2020",1.665
Algeria,DZA,"Apr 1, 2020",3.01
Algeria,DZA,"Apr 2, 2020",2.987
Algeria,DZA,"Apr 3, 2020",3.17
Algeria,DZA,"Apr 4, 2020",4.219
Algeria,DZA,"Apr 5, 2020",1.824
Algeria,DZA,"Apr 6, 2020",1.574
Algeria,DZA,"Apr 7, 2020",2.349
Algeria,DZA,"Apr 8, 2020",1.026
Algeria,DZA,"Apr 9, 2020",2.372
Algeria,DZA,"Apr 10, 2020",2.144
Algeria,DZA,"Apr 11, 2020",2.166
Algeria,DZA,"Apr 12, 2020",1.459
Algeria,DZA,"Apr 13, 2020",2.03
Algeria,DZA,"Apr 14, 2020",1.574
Algeria,DZA,"Apr 15, 2020",1.984
Algeria,DZA,"Apr 16, 2020",2.052
Algeria,DZA,"Apr 17, 2020",2.463
Algeria,DZA,"Apr 18, 2020",3.421
Algeria,DZA,"Apr 19, 2020",2.668
Algeria,DZA,"Apr 20, 2020",2.144
Algeria,DZA,"Apr 21, 2020",2.03
Algeria,DZA,"Apr 22, 2020",2.121
Algeria,DZA,"Apr 23, 2020",2.258
Algeria,DZA,"Apr 24, 2020",2.212
Algeria,DZA,"Apr 25, 2020",2.737
Algeria,DZA,"Apr 26, 2020",2.942
Algeria,DZA,"Apr 27, 2020",2.873
Algeria,DZA,"Apr 28, 2020",3.079
Algeria,DZA,"Apr 29, 2020",3.01
Algeria,DZA,"Apr 30, 2020",4.538
