"Município;""0 a 4 anos"";""5 a 9 anos"";""10 a 14 anos"";""15 a 19 anos"";""20 a 29 anos"";""30 a 39 anos"";""40 a 49 anos"";""50 a 59 anos"";""60 a 69 anos"";""70 a 79 anos"";""80 anos e mais"";""Total"""
110001 Alta Floresta D'Oeste;2039;2170;2014;2387;4550;3924;3417;2703;1392;800;181;25577
110037 Alto Alegre dos Parecis;1048;1339;1265;1498;2412;2108;1937;1249;702;296;85;13939
110040 Alto Paraíso;1543;1799;2174;2051;3260;3187;2811;1884;966;424;110;20209
110034 Alvorada D'Oeste;1292;1416;1387;1706;2701;2688;2303;1834;1000;556;179;17062
110002 Ariquemes;7551;8876;10300;9705;20300;17204;14035;8929;4783;2039;674;104396
110045 Buritis;3125;3732;3959;3702;6591;6558;4576;3109;1701;612;172;37837
110003 Cabixi;573;497;501;525;885;950;933;779;420;237;57;6357
110060 Cacaulândia;489;576;648;612;991;1012;848;589;368;193;41;6367
110004 Cacoal;6576;6610;7327;7521;16494;14324;11895;8697;4601;2314;868;87227
110070 Campo Novo de Rondônia;1111;1436;1518;1371;2325;2284;1914;1330;626;246;56;14217
110080 Candeias do Jamari;2177;2332;2564;2314;4254;3977;2859;2008;1173;347;146;24151
110090 Castanheiras;221;247;289;353;589;531;553;364;301;130;41;3619
110005 Cerejeiras;1399;1390;1422;1504;3244;2751;2522;1886;1100;582;185;17985
110092 Chupinguaia;971;952;994;1030;1821;1763;1275;785;367;141;28;10127
110006 Colorado do Oeste;1501;1443;1408;1493;3111;3069;2474;2064;1270;733;252;18818
110007 Corumbiara;575;693;713;821;1554;1482;1322;896;440;262;81;8839
110008 Costa Marques;1600;1658;1938;1810;2831;2809;1791;1234;652;245;82;16650
110094 Cujubim;1855;2237;2318;2249;3487;3721;2539;1543;786;205;33;20973
110009 Espigão D'Oeste;2785;2659;3003;2814;5688;5497;4157;3096;1687;740;256;32382
110100 Governador Jorge Teixeira;603;856;1000;960;1672;1587;1415;1011;608;305;107;10124
110010 Guajará-Mirim;4496;4945;5001;4419;8051;7093;5532;3503;2148;986;456;46630
110110 Itapuã do Oeste;1091;903;963;999;1658;1527;1189;915;506;186;56;9993
110011 Jaru;3988;4751;5260;4961;9931;9870;7074;4962;2808;1588;546;55739
110012 Ji-Paraná;10478;11126;11064;10903;24447;21977;17031;12620;6646;2999;1127;130418
110013 Machadinho D'Oeste;3374;3635;3829;3516;6165;6217;4519;3296;1785;667;162;37165
110120 Ministro Andreazza;922;933;996;1048;1909;1542;1567;912;580;320;96;10825
110130 Mirante da Serra;684;1114;1214;1227;2058;2015;1508;1196;719;471;153;12359
110140 Monte Negro;1176;1441;1697;1646;2460;2606;2005;1427;879;435;103;15875
110014 Nova Brasilândia D'Oeste;1461;1671;1768;2287;3727;3608;2927;2140;1261;584;160;21594
110033 Nova Mamoré;2438;2961;3192;2623;4356;4747;3371;2179;1157;419;151;27594
110143 Nova União;610;631;666;918;1297;1211;1054;748;426;198;66;7825
110050 Novo Horizonte do Oeste;767;790;802;964;1576;1617;1475;1166;652;364;98;10271
110015 Ouro Preto do Oeste;2896;3200;3550;3388;7185;6569;5298;3979;2232;1197;429;39923
110145 Parecis;527;542;531;498;1056;878;729;525;276;111;27;5700
110018 Pimenta Bueno;2909;3165;3452;3228;7225;6233;4806;3604;1791;782;320;37515
110146 Pimenteiras do Oeste;276;221;215;219;359;397;322;221;124;46;23;2423
110020 Porto Velho;41090;40978;46272;42604;104362;90804;62457;44244;20231;6948;2757;502747
110025 Presidente Médici;1438;1877;1844;1968;3562;3503;3074;2618;1512;826;335;22557
110147 Primavera de Rondônia;214;205;360;366;499;569;489;381;238;123;54;3498
110026 Rio Crespo;309;328;361;334;552;583;524;386;213;120;35;3745
110028 Rolim de Moura;4021;4714;4744;4705;11052;9390;7589;5212;2842;1459;513;56241
110029 Santa Luzia D'Oeste;698;623;620;732;1402;1317;1254;990;478;301;114;8529
110148 São Felipe D'Oeste;397;451;500;557;844;1082;859;684;444;219;66;6103
110149 São Francisco do Guaporé;1643;1685;1918;1937;3404;3053;2405;1577;946;339;92;18999
110032 São Miguel do Guaporé;1871;2080;2231;2444;4309;3981;3039;2185;1130;551;113;23934
110150 Seringueiras;701;1121;1254;1355;2224;1975;1731;1198;604;337;80;12580
110155 Teixeirópolis;382;346;420;475;837;728;700;526;314;194;79;5001
110160 Theobroma;842;970;1097;1147;1596;1967;1458;1129;710;342;86;11344
110170 Urupá;891;1090;1222;1191;2184;2277;1604;1352;962;399;122;13294
110175 Vale do Anari;784;977;1065;1056;1672;1820;1401;1116;621;270;67;10849
110180 Vale do Paraíso;585;591;695;863;1297;1267;1173;896;520;259;87;8233
110030 Vilhena;7778;7860;8224;7593;17952;15714;12033;8317;4124;1727;481;91803
120001 Acrelândia;1392;1379;1496;1520;2293;2123;1590;1051;665;283;75;13867
120005 Assis Brasil;978;879;661;629;1151;938;654;453;224;111;57;6735
120010 Brasiléia;2167;2535;2571;2337;4341;3597;2791;1691;1038;575;204;23847
120013 Bujari;903;967;1096;960;1511;1464;993;736;485;134;87;9336
120017 Capixaba;1027;1104;1268;1256;1673;1359;1202;868;507;176;60;10500
120020 Cruzeiro do Sul;8654;9419;10096;9070;14296;12487;7487;4835;2758;1670;748;81520
120025 Epitaciolândia;1674;1767;1697;1695;3074;2424;1945;1217;709;384;150;16736
120030 Feijó;4868;4487;4035;3463;5492;3806;2814;1649;992;533;242;32381
120032 Jordão;1323;1226;1099;847;1267;854;476;239;88;53;34;7506
120033 Mâncio Lima;2315;2124;2075;1847;2880;2509;1413;1026;571;295;117;17172
120034 Manoel Urbano;1123;1079;1081;978;1389;1257;730;499;263;178;61;8638
120035 Marechal Thaumaturgo;2899;2711;2259;2078;2854;1892;1067;617;313;166;40;16896
120038 Plácido de Castro;1873;2058;2080;1852;2814;2435;2015;1448;940;475;167;18157
120080 Porto Acre;1547;1834;1953;1805;2714;2335;1901;1245;859;434;130;16757
120039 Porto Walter;1879;1720;1643;1198;1564;1282;732;414;183;97;49;10761
120040 Rio Branco;34317;35226;36790;36397;70137;61927;42994;27718;15145;6875;3023;370549
120042 Rodrigues Alves;2023;2453;2480;1984;2726;2379;1392;802;473;198;67;16977
120043 Santa Rosa do Purus;959;973;730;536;1167;717;340;227;121;28;11;5809
120050 Sena Madureira;4249;4647;4829;4570;7821;6550;3864;2583;1489;786;362;41750
120045 Senador Guiomard;2045;2279;2366;2123;3545;3075;2359;1673;982;535;202;21184
120060 Tarauacá;5848;5742;4971;4262;6311;4693;2996;1913;1132;664;287;38819
120070 Xapuri;1784;1884;1882;1891;3038;2516;1886;1267;838;431;189;17606
130002 Alvarães;2188;2463;2036;1687;2672;1879;1165;749;407;223;75;15544
130006 Amaturá;1719;1145;1192;1227;2156;1472;898;582;267;135;57;10850
130008 Anamã;1130;1497;1608;1363;2386;1826;1190;715;324;217;64;12320
130010 Anori;2208;2270;2398;2194;3585;2881;1830;989;489;327;121;19292
130014 Apuí;1636;1728;2113;1936;4487;3583;2318;1660;876;253;62;20652
130020 Atalaia do Norte;2530;2363;1913;2010;4087;2293;1484;786;400;202;66;18134
130030 Autazes;4511;4712;4574;3935;6134;4668;3547;2474;1446;708;321;37030
130040 Barcelos;2885;2590;2822;3119;6635;3549;2398;1883;1043;409;100;27433
130050 Barreirinha;4112;4490;4083;3475;4848;3602;2436;1738;953;598;325;30660
130060 Benjamin Constant;6087;5650;4668;4184;7198;4535;3141;2082;1063;624;252;39484
130063 Beruri;2310;2765;2597;2025;2912;2064;1469;1029;570;304;124;18169
130068 Boa Vista do Ramos;1951;2354;2396;2106;3205;2224;1459;1054;516;267;131;17663
130070 Boca do Acre;3476;3812;3920;3677;5853;4830;3423;2212;1303;708;283;33497
130080 Borba;5009;5036;4368;4451;7288;5320;3258;2190;1245;700;424;39289
130083 Caapiranga;1472;1436;1533;1444;2228;1763;1160;692;439;190;62;12419
130090 Canutama;1629;1641;1538;1506;2751;2471;1564;1117;594;251;66;15128
130100 Carauari;3297;3389;3694;3357;5014;3616;2455;1532;895;451;178;27878
130110 Careiro;3907;4141;4275;3846;6079;5539;3882;2510;1366;672;216;36433
130115 Careiro da Várzea;2689;2829;2971;2909;4762;3935;3617;2217;1240;612;201;27982
130120 Coari;9270;9383;9644;9647;17671;11773;6903;4427;2526;1338;498;83080
130130 Codajás;2120;3368;3395;3000;5454;4066;2477;1495;831;394;174;26774
130140 Eirunepé;4708;4804;3860;3689;6135;4465;2693;1938;1011;520;204;34027
130150 Envira;2508;2374;2454;2283;3376;2606;1462;856;435;323;106;18783
130160 Fonte Boa;3328;2785;2234;2140;3932;2443;1596;1031;675;409;169;20742
130165 Guajará;1729;2018;2150;2040;2972;1904;1481;822;427;194;85;15822
130170 Humaitá;4354;5185;6280;6125;10097;7476;5205;3484;1920;881;298;51305
130180 Ipixuna;3849;4028;3662;2528;4616;3730;2116;1244;704;286;96;26859
130185 Iranduba;4799;5580;5610;4905;7339;6506;4709;3278;1942;1008;311;45987
130190 Itacoatiara;10313;11041;11132;10340;16281;14229;9848;6901;4066;2137;831;97119
130195 Itamarati;1059;1026;1032;922;1550;1198;672;386;226;75;34;8180
